"","gt0","meanrow"
"(Intercept)",1000,1.20468592609901
"age",-809,-0.139478333864182
"income disclosure",-653,-0.0622665138905808
"need for cognition",550,0.0664153092284037
"writing skills",653,0.101114160615449
"organisation skills",-564,-0.144630355190562
"meeting skills",566,0.0825910613911826
"pol. debate offline ",-507,-0.0471942562079039
"pol. online action",673,0.0987899882584676
"religious membership",-611,-0.0880039903587842
"SM variety",766,0.119132485671942
"web activity",629,0.1277103613017
"active weeks",545,0.140224990897162
